OrderID,OrderDate,Product,Region,SalesChannel,UnitPrice,Quantity,Revenue,Profit
1062,2023-03-03,Keyboard,South,Retail,810,3,2430,486
1063,2023-03-04,Headphones,East,Retail,1312,4,5248,1049.6
1064,2023-03-05,Mouse,East,Retail,1302,9,11718,2343.6
1065,2023-03-06,Laptop,North,Retail,628,7,4396,879.2
1066,2023-03-07,Monitor,South,Retail,1124,1,1124,224.8
1067,2023-03-08,Phone,West,Online,1056,4,4224,844.8
1068,2023-03-09,Monitor,North,Retail,1337,4,5348,1069.6
1069,2023-03-10,Phone,South,Retail,1491,9,13419,2683.8
1070,2023-03-11,Mouse,South,Retail,145,6,870,174
1071,2023-03-12,Mouse,South,Online,1161,9,10449,2089.8
1072,2023-03-13,Mouse,South,Retail,1151,6,6906,1381.2
1073,2023-03-14,Phone,South,Retail,1361,6,8166,1633.2
1074,2023-03-15,Monitor,East,Online,1193,5,5965,1193
1075,2023-03-16,Mouse,North,Retail,863,5,4315,863
1076,2023-03-17,Keyboard,East,Online,540,2,1080,216
1077,2023-03-18,Phone,West,Online,501,8,4008,801.6
1078,2023-03-19,Phone,South,Online,214,8,1712,342.4
1079,2023-03-20,Monitor,North,Online,231,1,231,46.2
1080,2023-03-21,Phone,South,Online,518,8,4144,828.8
1081,2023-03-22,Phone,North,Retail,959,5,4795,959
1082,2023-03-23,Mouse,East,Online,784,2,1568,313.6
1083,2023-03-24,Monitor,North,Online,872,2,1744,348.8
1084,2023-03-25,Mouse,West,Retail,993,6,5958,1191.6
1085,2023-03-26,Mouse,West,Online,56,9,504,100.8
1086,2023-03-27,Monitor,North,Retail,379,1,379,75.8
1087,2023-03-28,Laptop,North,Retail,824,6,4944,988.8
1088,2023-03-29,Mouse,North,Retail,200,9,1800,360
1089,2023-03-30,Keyboard,North,Online,1158,8,9264,1852.8
1090,2023-03-31,Keyboard,West,Online,196,6,1176,235.2
1091,2023-04-01,Phone,South,Online,1454,3,4362,872.4
1092,2023-04-02,Keyboard,North,Retail,964,8,7712,1542.4
1093,2023-04-03,Phone,North,Online,1358,9,12222,2444.4
1094,2023-04-04,Laptop,West,Online,749,1,749,149.8
1095,2023-04-05,Monitor,West,Online,131,9,1179,235.8
1096,2023-04-06,Monitor,East,Retail,563,6,3378,675.6
1097,2023-04-07,Monitor,North,Retail,864,6,5184,1036.8
1098,2023-04-08,Keyboard,East,Online,758,4,3032,606.4
1099,2023-04-09,Laptop,West,Online,795,1,795,159
1100,2023-04-10,Keyboard,West,Online,1072,8,8576,1715.2
1101,2023-04-11,Keyboard,South,Online,1459,2,2918,583.6
1102,2023-04-12,Laptop,North,Retail,756,1,756,151.2
1103,2023-04-13,Laptop,East,Retail,520,2,1040,208
1104,2023-04-14,Laptop,West,Retail,1192,1,1192,238.4
1105,2023-04-15,Laptop,West,Retail,445,1,445,89
1106,2023-04-16,Monitor,East,Online,310,9,2790,558
1107,2023-04-17,Headphones,South,Online,854,1,854,170.8
1108,2023-04-18,Headphones,West,Online,983,4,3932,786.4
1109,2023-04-19,Laptop,North,Retail,1329,6,7974,1594.8
1110,2023-04-20,Headphones,West,Online,954,7,6678,1335.6
1111,2023-04-21,Headphones,North,Retail,1299,2,2598,519.6
1112,2023-04-22,Laptop,East,Retail,1126,6,6756,1351.2
1113,2023-04-23,Headphones,North,Online,989,7,6923,1384.6
1114,2023-04-24,Keyboard,East,Online,903,2,1806,361.2
1115,2023-04-25,Phone,North,Online,1437,2,2874,574.8
1116,2023-04-26,Phone,East,Retail,1353,7,9471,1894.2
1117,2023-04-27,Laptop,North,Online,642,1,642,128.4
1118,2023-04-28,Monitor,South,Retail,763,8,6104,1220.8
1119,2023-04-29,Laptop,North,Online,1231,3,3693,738.6
1120,2023-04-30,Monitor,North,Retail,681,6,4086,817.2
1121,2023-05-01,Phone,South,Retail,108,9,972,194.4
1122,2023-05-02,Laptop,West,Online,177,6,1062,212.4
1123,2023-05-03,Mouse,West,Retail,785,9,7065,1413
1124,2023-05-04,Keyboard,North,Retail,770,7,5390,1078
1125,2023-05-05,Headphones,South,Online,1188,9,10692,2138.4
1126,2023-05-06,Monitor,North,Retail,1282,2,2564,512.8
1127,2023-05-07,Mouse,East,Online,575,8,4600,920
1128,2023-05-08,Headphones,East,Retail,570,8,4560,912
1129,2023-05-09,Headphones,North,Online,601,2,1202,240.4
1130,2023-05-10,Laptop,West,Online,286,4,1144,228.8
1131,2023-05-11,Headphones,West,Retail,1354,7,9478,1895.6
1132,2023-05-12,Keyboard,North,Retail,1432,4,5728,1145.6
1133,2023-05-13,Mouse,North,Retail,1274,4,5096,1019.2
1134,2023-05-14,Headphones,East,Retail,1351,6,8106,1621.2
1135,2023-05-15,Laptop,West,Retail,1308,6,7848,1569.6
1136,2023-05-16,Keyboard,North,Online,543,3,1629,325.8
1137,2023-05-17,Phone,East,Retail,53,9,477,95.4
1138,2023-05-18,Mouse,West,Online,715,2,1430,286
1139,2023-05-19,Headphones,South,Online,491,6,2946,589.2
1140,2023-05-20,Laptop,East,Retail,78,7,546,109.2
1141,2023-05-21,Phone,West,Online,1182,9,10638,2127.6
1142,2023-05-22,Phone,West,Online,659,3,1977,395.4
1143,2023-05-23,Monitor,East,Online,854,3,2562,512.4
1144,2023-05-24,Keyboard,South,Online,124,7,868,173.6
1145,2023-05-25,Headphones,East,Retail,887,4,3548,709.6
1146,2023-05-26,Laptop,West,Online,1219,8,9752,1950.4
1147,2023-05-27,Monitor,North,Retail,177,7,1239,247.8
1148,2023-05-28,Keyboard,North,Retail,91,5,455,91
1149,2023-05-29,Monitor,East,Online,1429,7,10003,2000.6
1150,2023-05-30,Mouse,West,Retail,90,3,270,54
1151,2023-05-31,Keyboard,North,Retail,983,2,1966,393.2
1152,2023-06-01,Keyboard,West,Retail,83,6,498,99.6
1153,2023-06-02,Headphones,East,Online,1090,2,2180,436
1154,2023-06-03,Keyboard,North,Retail,1226,3,3678,735.6
1155,2023-06-04,Monitor,West,Retail,1047,6,6282,1256.4
1156,2023-06-05,Keyboard,North,Retail,1451,5,7255,1451
1157,2023-06-06,Headphones,East,Online,637,8,5096,1019.2
1158,2023-06-07,Headphones,West,Retail,391,9,3519,703.8
1159,2023-06-08,Mouse,North,Online,76,3,228,45.6
1160,2023-06-09,Monitor,East,Online,1360,3,4080,816
1161,2023-06-10,Phone,North,Online,695,3,2085,417
1162,2023-06-11,Phone,North,Online,780,6,4680,936
1163,2023-06-12,Keyboard,South,Online,217,1,217,43.4
1164,2023-06-13,Mouse,South,Online,659,7,4613,922.6
1165,2023-06-14,Laptop,East,Retail,317,1,317,63.4
1166,2023-06-15,Keyboard,South,Online,870,5,4350,870
1167,2023-06-16,Mouse,East,Retail,504,8,4032,806.4
1168,2023-06-17,Monitor,South,Retail,955,4,3820,764
1169,2023-06-18,Monitor,North,Online,1474,5,7370,1474
1170,2023-06-19,Monitor,East,Retail,971,4,3884,776.8
1171,2023-06-20,Monitor,East,Retail,1030,4,4120,824
1172,2023-06-21,Monitor,North,Retail,751,8,6008,1201.6
1173,2023-06-22,Mouse,East,Retail,683,2,1366,273.2
1174,2023-06-23,Mouse,East,Online,179,1,179,35.8
1175,2023-06-24,Headphones,South,Retail,1069,3,3207,641.4
1176,2023-06-25,Phone,East,Online,1436,9,12924,2584.8
1177,2023-06-26,Monitor,West,Retail,868,4,3472,694.4
1178,2023-06-27,Laptop,North,Retail,742,5,3710,742
1179,2023-06-28,Mouse,South,Online,1365,2,2730,546
1180,2023-06-29,Laptop,South,Retail,1444,4,5776,1155.2
1181,2023-06-30,Laptop,West,Retail,843,2,1686,337.2
1182,2023-07-01,Laptop,North,Retail,78,2,156,31.2
1183,2023-07-02,Headphones,North,Online,198,4,792,158.4
1184,2023-07-03,Mouse,South,Retail,1369,6,8214,1642.8
1185,2023-07-04,Laptop,East,Online,60,7,420,84
1186,2023-07-05,Monitor,South,Retail,725,3,2175,435
1187,2023-07-06,Keyboard,North,Online,1186,3,3558,711.6
1188,2023-07-07,Laptop,West,Online,236,6,1416,283.2
1189,2023-07-08,Headphones,South,Retail,856,3,2568,513.6
1190,2023-07-09,Mouse,North,Retail,793,2,1586,317.2
1191,2023-07-10,Headphones,South,Online,1300,8,10400,2080
1192,2023-07-11,Laptop,East,Online,1383,5,6915,1383
1193,2023-07-12,Mouse,South,Retail,147,1,147,29.4
1194,2023-07-13,Keyboard,South,Online,104,3,312,62.4
1195,2023-07-14,Laptop,North,Retail,672,8,5376,1075.2
1196,2023-07-15,Headphones,North,Retail,713,4,2852,570.4
1197,2023-07-16,Phone,North,Retail,807,7,5649,1129.8
1198,2023-07-17,Monitor,South,Retail,455,2,910,182
1199,2023-07-18,Headphones,East,Online,118,7,826,165.2
1200,2023-07-19,Mouse,West,Retail,1385,5,6925,1385
1201,2023-07-20,Laptop,West,Online,1362,5,6810,1362
1202,2023-07-21,Monitor,North,Retail,800,6,4800,960
1203,2023-07-22,Laptop,North,Online,1221,9,10989,2197.8
1204,2023-07-23,Mouse,South,Retail,1317,6,7902,1580.4
1205,2023-07-24,Laptop,West,Online,1007,8,8056,1611.2
1206,2023-07-25,Phone,North,Online,414,7,2898,579.6
1207,2023-07-26,Monitor,East,Retail,531,9,4779,955.8
1208,2023-07-27,Monitor,East,Retail,250,4,1000,200
1209,2023-07-28,Mouse,North,Retail,203,2,406,81.2
1210,2023-07-29,Phone,North,Retail,122,7,854,170.8
1211,2023-07-30,Headphones,West,Online,762,6,4572,914.4
1212,2023-07-31,Laptop,West,Retail,345,1,345,69
1213,2023-08-01,Keyboard,South,Online,1090,9,9810,1962
1214,2023-08-02,Laptop,West,Online,1290,9,11610,2322
1215,2023-08-03,Laptop,East,Retail,110,2,220,44
1216,2023-08-04,Headphones,East,Online,988,3,2964,592.8
1217,2023-08-05,Laptop,North,Online,91,5,455,91
1218,2023-08-06,Phone,West,Online,74,5,370,74
1219,2023-08-07,Phone,South,Online,1112,1,1112,222.4
1220,2023-08-08,Monitor,East,Retail,180,8,1440,288
1221,2023-08-09,Mouse,East,Retail,1302,8,10416,2083.2
1222,2023-08-10,Keyboard,South,Retail,157,4,628,125.6
1223,2023-08-11,Laptop,South,Retail,221,7,1547,309.4
1224,2023-08-12,Laptop,East,Online,151,3,453,90.6
1225,2023-08-13,Headphones,East,Online,915,6,5490,1098
1226,2023-08-14,Mouse,South,Retail,573,9,5157,1031.4
1227,2023-08-15,Phone,East,Retail,324,1,324,64.8
1228,2023-08-16,Keyboard,North,Retail,1117,5,5585,1117
1229,2023-08-17,Monitor,North,Online,866,4,3464,692.8
1230,2023-08-18,Phone,South,Retail,1006,8,8048,1609.6
1231,2023-08-19,Mouse,West,Retail,1090,1,1090,218
1232,2023-08-20,Monitor,South,Retail,379,9,3411,682.2
1233,2023-08-21,Headphones,South,Online,61,6,366,73.2
1234,2023-08-22,Headphones,West,Online,1391,4,5564,1112.8
1235,2023-08-23,Laptop,West,Online,265,9,2385,477
1236,2023-08-24,Mouse,West,Online,388,5,1940,388
1237,2023-08-25,Keyboard,North,Online,710,5,3550,710
1238,2023-08-26,Monitor,East,Online,1154,5,5770,1154
1239,2023-08-27,Phone,North,Online,423,1,423,84.6
1240,2023-08-28,Mouse,East,Online,1025,1,1025,205
1241,2023-08-29,Mouse,North,Retail,759,8,6072,1214.4
1242,2023-08-30,Headphones,East,Retail,1273,8,10184,2036.8
1243,2023-08-31,Laptop,North,Online,515,6,3090,618
1244,2023-09-01,Laptop,West,Online,1162,4,4648,929.6
1245,2023-09-02,Monitor,South,Retail,1341,2,2682,536.4
1246,2023-09-03,Headphones,North,Online,538,2,1076,215.2
1247,2023-09-04,Mouse,East,Online,96,9,864,172.8
1248,2023-09-05,Keyboard,West,Online,1361,5,6805,1361
1249,2023-09-06,Headphones,North,Retail,827,4,3308,661.6
1250,2023-09-07,Monitor,North,Retail,1089,1,1089,217.8
1251,2023-09-08,Monitor,West,Retail,760,7,5320,1064
1252,2023-09-09,Headphones,North,Retail,450,3,1350,270
1253,2023-09-10,Monitor,South,Retail,1030,6,6180,1236
1254,2023-09-11,Headphones,North,Online,1159,5,5795,1159
1255,2023-09-12,Phone,South,Retail,299,5,1495,299
1256,2023-09-13,Headphones,South,Online,440,5,2200,440
1257,2023-09-14,Headphones,West,Online,384,1,384,76.8
1258,2023-09-15,Monitor,North,Retail,678,1,678,135.6
1259,2023-09-16,Monitor,West,Retail,186,3,558,111.6
1260,2023-09-17,Laptop,North,Online,932,4,3728,745.6
1261,2023-09-18,Laptop,North,Online,737,5,3685,737
1262,2023-09-19,Phone,East,Online,876,2,1752,350.4
1263,2023-09-20,Laptop,North,Retail,776,8,6208,1241.6
1264,2023-09-21,Headphones,West,Retail,643,2,1286,257.2
1265,2023-09-22,Monitor,South,Retail,1296,9,11664,2332.8
1266,2023-09-23,Laptop,North,Retail,1039,2,2078,415.6
1267,2023-09-24,Laptop,East,Retail,421,9,3789,757.8
1268,2023-09-25,Phone,West,Online,984,7,6888,1377.6
1269,2023-09-26,Mouse,North,Retail,1044,8,8352,1670.4
1270,2023-09-27,Phone,West,Online,451,2,902,180.4
1271,2023-09-28,Headphones,East,Online,664,7,4648,929.6
1272,2023-09-29,Monitor,East,Online,1346,6,8076,1615.2
1273,2023-09-30,Phone,West,Retail,1232,4,4928,985.6
1274,2023-10-01,Laptop,North,Retail,1225,7,8575,1715
1275,2023-10-02,Monitor,South,Retail,1044,4,4176,835.2
1276,2023-10-03,Monitor,East,Online,669,2,1338,267.6
1277,2023-10-04,Laptop,North,Online,237,7,1659,331.8
1278,2023-10-05,Phone,North,Online,1171,8,9368,1873.6
1279,2023-10-06,Laptop,South,Online,180,2,360,72
1280,2023-10-07,Mouse,East,Online,854,5,4270,854
1281,2023-10-08,Monitor,East,Online,1244,1,1244,248.8
1282,2023-10-09,Keyboard,North,Retail,985,7,6895,1379
1283,2023-10-10,Keyboard,North,Retail,1035,8,8280,1656
1284,2023-10-11,Headphones,South,Retail,232,6,1392,278.4
1285,2023-10-12,Laptop,South,Retail,1032,5,5160,1032
1286,2023-10-13,Laptop,East,Online,413,6,2478,495.6
1287,2023-10-14,Headphones,West,Online,88,2,176,35.2
1288,2023-10-15,Headphones,East,Retail,546,1,546,109.2
1289,2023-10-16,Headphones,North,Online,1422,7,9954,1990.8
1290,2023-10-17,Monitor,East,Retail,1031,7,7217,1443.4
1291,2023-10-18,Mouse,West,Retail,970,2,1940,388
1292,2023-10-19,Laptop,South,Retail,1470,2,2940,588
1293,2023-10-20,Monitor,West,Online,771,1,771,154.2
1294,2023-10-21,Headphones,West,Retail,1234,8,9872,1974.4
1295,2023-10-22,Laptop,West,Retail,65,8,520,104
1296,2023-10-23,Monitor,South,Retail,542,1,542,108.4
1297,2023-10-24,Mouse,West,Online,1499,8,11992,2398.4
1298,2023-10-25,Monitor,West,Online,1181,9,10629,2125.8
1299,2023-10-26,Mouse,West,Retail,943,4,3772,754.4
1300,2023-10-27,Headphones,North,Online,360,1,360,72
1301,2023-10-28,Mouse,West,Online,788,1,788,157.6
1302,2023-10-29,Laptop,South,Online,1243,3,3729,745.8
1303,2023-10-30,Headphones,West,Online,595,5,2975,595
1304,2023-10-31,Laptop,West,Online,463,5,2315,463
1305,2023-11-01,Keyboard,South,Online,300,9,2700,540
1306,2023-11-02,Phone,West,Online,808,2,1616,323.2
1307,2023-11-03,Mouse,South,Online,1214,2,2428,485.6
1308,2023-11-04,Phone,West,Online,1347,6,8082,1616.4
1309,2023-11-05,Phone,South,Online,1489,9,13401,2680.2
1310,2023-11-06,Mouse,West,Retail,1112,1,1112,222.4
1311,2023-11-07,Headphones,West,Retail,863,9,7767,1553.4
1312,2023-11-08,Keyboard,North,Online,78,9,702,140.4
1313,2023-11-09,Laptop,North,Retail,1007,9,9063,1812.6
1314,2023-11-10,Monitor,West,Retail,526,5,2630,526
1315,2023-11-11,Laptop,West,Online,367,9,3303,660.6
1316,2023-11-12,Monitor,East,Online,294,4,1176,235.2
1317,2023-11-13,Laptop,South,Online,797,2,1594,318.8
1318,2023-11-14,Mouse,East,Retail,746,6,4476,895.2
1319,2023-11-15,Keyboard,North,Retail,321,4,1284,256.8
1320,2023-11-16,Monitor,North,Online,1312,6,7872,1574.4
1321,2023-11-17,Headphones,North,Online,426,3,1278,255.6
1322,2023-11-18,Laptop,North,Online,315,6,1890,378
1323,2023-11-19,Laptop,West,Retail,975,2,1950,390
1324,2023-11-20,Monitor,North,Retail,970,2,1940,388
1325,2023-11-21,Headphones,West,Retail,1432,9,12888,2577.6
1326,2023-11-22,Headphones,West,Retail,389,7,2723,544.6
1327,2023-11-23,Mouse,North,Online,438,3,1314,262.8
1328,2023-11-24,Mouse,North,Online,626,1,626,125.2
1329,2023-11-25,Mouse,South,Online,52,8,416,83.2
1330,2023-11-26,Mouse,East,Online,1215,6,7290,1458
1331,2023-11-27,Mouse,North,Retail,425,7,2975,595
1332,2023-11-28,Mouse,South,Retail,373,9,3357,671.4
1333,2023-11-29,Keyboard,South,Online,195,5,975,195
1334,2023-11-30,Headphones,East,Online,342,1,342,68.4
1335,2023-12-01,Mouse,West,Retail,481,7,3367,673.4
1336,2023-12-02,Headphones,North,Online,754,5,3770,754
1337,2023-12-03,Headphones,East,Retail,998,3,2994,598.8
1338,2023-12-04,Phone,North,Online,634,9,5706,1141.2
1339,2023-12-05,Keyboard,South,Online,448,1,448,89.6
1340,2023-12-06,Mouse,South,Online,866,1,866,173.2
1341,2023-12-07,Laptop,West,Online,1417,1,1417,283.4
1342,2023-12-08,Monitor,South,Online,1013,3,3039,607.8
1343,2023-12-09,Laptop,South,Online,1213,6,7278,1455.6
1344,2023-12-10,Keyboard,East,Online,236,3,708,141.6
1345,2023-12-11,Monitor,North,Retail,110,8,880,176
1346,2023-12-12,Keyboard,North,Retail,988,2,1976,395.2
1347,2023-12-13,Headphones,East,Retail,1453,9,13077,2615.4
1348,2023-12-14,Monitor,West,Retail,759,3,2277,455.4
1349,2023-12-15,Headphones,North,Retail,856,5,4280,856
1350,2023-12-16,Laptop,South,Online,1392,8,11136,2227.2
1351,2023-12-17,Laptop,North,Online,1375,2,2750,550
1352,2023-12-18,Monitor,South,Retail,1417,6,8502,1700.4
1353,2023-12-19,Monitor,West,Online,60,5,300,60
1354,2023-12-20,Mouse,East,Retail,1135,9,10215,2043
1355,2023-12-21,Keyboard,North,Retail,275,5,1375,275
1356,2023-12-22,Mouse,East,Online,1226,2,2452,490.4
1357,2023-12-23,Keyboard,North,Online,613,5,3065,613
1358,2023-12-24,Mouse,South,Online,821,4,3284,656.8
1359,2023-12-25,Headphones,East,Retail,1383,7,9681,1936.2
1360,2023-12-26,Monitor,North,Online,934,6,5604,1120.8
1361,2023-12-27,Laptop,South,Retail,1316,2,2632,526.4
1362,2023-12-28,Keyboard,East,Retail,1439,5,7195,1439
1363,2023-12-29,Keyboard,East,Retail,1403,7,9821,1964.2
1364,2023-12-30,Laptop,North,Online,1180,7,8260,1652
1365,2023-12-31,Mouse,North,Online,275,5,1375,275
1366,2024-01-01,Keyboard,North,Retail,874,9,7866,1573.2
1367,2024-01-02,Headphones,South,Online,267,4,1068,213.6
1368,2024-01-03,Monitor,North,Online,986,3,2958,591.6
1369,2024-01-04,Laptop,East,Online,802,4,3208,641.6
1370,2024-01-05,Monitor,East,Retail,555,5,2775,555
1371,2024-01-06,Keyboard,North,Retail,308,6,1848,369.6
1372,2024-01-07,Keyboard,North,Online,103,3,309,61.8
1373,2024-01-08,Laptop,West,Retail,1120,2,2240,448
1374,2024-01-09,Headphones,East,Online,776,4,3104,620.8
1375,2024-01-10,Phone,South,Online,738,5,3690,738
1376,2024-01-11,Laptop,West,Online,1172,4,4688,937.6
1377,2024-01-12,Phone,North,Online,1093,3,3279,655.8
1378,2024-01-13,Mouse,North,Retail,468,8,3744,748.8
1379,2024-01-14,Phone,East,Retail,739,4,2956,591.2
1380,2024-01-15,Headphones,North,Retail,899,2,1798,359.6
1381,2024-01-16,Mouse,South,Online,111,2,222,44.4
1382,2024-01-17,Phone,East,Online,1218,1,1218,243.6
1383,2024-01-18,Mouse,North,Online,265,4,1060,212
1384,2024-01-19,Phone,East,Retail,52,9,468,93.6
1385,2024-01-20,Headphones,North,Online,209,7,1463,292.6
1386,2024-01-21,Phone,North,Retail,830,7,5810,1162
1387,2024-01-22,Phone,North,Retail,1193,7,8351,1670.2
1388,2024-01-23,Phone,South,Retail,942,8,7536,1507.2
1389,2024-01-24,Laptop,South,Retail,1162,1,1162,232.4
1390,2024-01-25,Laptop,East,Retail,378,8,3024,604.8
1391,2024-01-26,Laptop,North,Retail,629,4,2516,503.2
1392,2024-01-27,Headphones,North,Online,1430,4,5720,1144
1393,2024-01-28,Mouse,South,Online,1340,4,5360,1072
1394,2024-01-29,Keyboard,North,Retail,1001,6,6006,1201.2
1395,2024-01-30,Phone,South,Retail,1396,7,9772,1954.4
1396,2024-01-31,Phone,North,Online,684,6,4104,820.8
1397,2024-02-01,Headphones,East,Retail,1037,1,1037,207.4
1398,2024-02-02,Phone,North,Retail,1268,8,10144,2028.8
1399,2024-02-03,Laptop,North,Online,970,7,6790,1358
1400,2024-02-04,Keyboard,West,Retail,787,6,4722,944.4
1401,2024-02-05,Monitor,South,Retail,1405,6,8430,1686
1402,2024-02-06,Phone,North,Retail,219,5,1095,219
1403,2024-02-07,Laptop,North,Online,570,6,3420,684
1404,2024-02-08,Monitor,West,Online,89,9,801,160.2
1405,2024-02-09,Keyboard,West,Online,1334,9,12006,2401.2
1406,2024-02-10,Monitor,South,Retail,1468,8,11744,2348.8
1407,2024-02-11,Laptop,West,Retail,1004,9,9036,1807.2
1408,2024-02-12,Mouse,East,Online,1299,8,10392,2078.4
1409,2024-02-13,Mouse,West,Retail,1033,8,8264,1652.8
1410,2024-02-14,Monitor,East,Retail,1197,1,1197,239.4
1411,2024-02-15,Headphones,South,Retail,1024,5,5120,1024
1412,2024-02-16,Monitor,South,Retail,87,4,348,69.6
1413,2024-02-17,Phone,South,Retail,377,2,754,150.8
1414,2024-02-18,Phone,South,Online,1324,8,10592,2118.4
1415,2024-02-19,Mouse,South,Retail,1249,3,3747,749.4
1416,2024-02-20,Headphones,East,Online,963,4,3852,770.4
1417,2024-02-21,Laptop,East,Retail,503,7,3521,704.2
1418,2024-02-22,Phone,South,Online,86,9,774,154.8
1419,2024-02-23,Mouse,West,Retail,1389,2,2778,555.6
1420,2024-02-24,Keyboard,North,Online,1022,3,3066,613.2
1421,2024-02-25,Mouse,South,Retail,845,4,3380,676
1422,2024-02-26,Phone,West,Online,1022,1,1022,204.4
1423,2024-02-27,Phone,North,Retail,642,7,4494,898.8
1424,2024-02-28,Mouse,South,Online,1187,2,2374,474.8
1425,2024-02-29,Laptop,South,Retail,1113,5,5565,1113
1426,2024-03-01,Monitor,East,Online,1374,1,1374,274.8
1427,2024-03-02,Phone,North,Online,273,3,819,163.8
1428,2024-03-03,Mouse,North,Retail,367,2,734,146.8
1429,2024-03-04,Mouse,West,Retail,398,1,398,79.6
1430,2024-03-05,Headphones,East,Online,164,7,1148,229.6
1431,2024-03-06,Monitor,East,Retail,747,5,3735,747
1432,2024-03-07,Keyboard,East,Online,1396,1,1396,279.2
1433,2024-03-08,Laptop,East,Online,1113,6,6678,1335.6
1434,2024-03-09,Keyboard,North,Online,89,5,445,89
1435,2024-03-10,Monitor,North,Retail,1362,3,4086,817.2
1436,2024-03-11,Monitor,South,Online,1335,7,9345,1869
1437,2024-03-12,Monitor,South,Online,265,9,2385,477
1438,2024-03-13,Keyboard,East,Retail,1220,9,10980,2196
1439,2024-03-14,Monitor,East,Retail,385,9,3465,693
1440,2024-03-15,Mouse,East,Retail,1241,2,2482,496.4
1441,2024-03-16,Keyboard,South,Retail,141,3,423,84.6
1442,2024-03-17,Monitor,West,Online,402,7,2814,562.8
